query_id,cost_ratio,detour_m,diverge_lat,diverge_lon,progress_fraction,straight_line_km
678,1.009925,14.200000,37.738874,-122.413951,0.841270,1.126609
679,1.002952,28.250000,37.783643,-122.459063,0.216443,7.658502
685,1.002498,6.580000,37.782194,-122.410403,0.500000,2.631926
686,1.005097,65.980000,37.753547,-122.436413,0.638574,9.704206
687,1.006187,50.070000,37.763442,-122.403505,0.278873,6.144857
689,1.014149,104.260000,37.759264,-122.470296,0.008571,5.570612
691,1.001273,13.910000,37.734687,-122.471700,0.831325,9.199221
694,1.000441,4.620000,37.762033,-122.415016,0.257143,8.415300
695,1.001301,7.800000,37.721308,-122.427734,0.372937,4.781985
696,1.014356,70.420000,37.737711,-122.396011,0.349624,4.030699
697,1.008240,85.550000,37.739733,-122.465271,0.088975,9.230967
698,1.000220,1.220000,37.808186,-122.415809,0.007547,4.900691
699,1.001290,2.400000,37.721564,-122.432867,0.228070,1.359228
700,1.002716,31.010000,37.739937,-122.424257,0.530271,10.236012
701,1.001569,10.030000,37.739674,-122.465121,0.019900,5.402879
702,1.020319,79.050000,37.733604,-122.434138,0.489796,3.415917
704,1.020425,108.840000,37.746769,-122.419002,0.312217,4.235880
705,1.000228,1.540000,37.730047,-122.427911,0.841584,4.786160
706,1.009337,110.470000,37.724293,-122.429710,0.771005,8.671811
709,1.033334,164.420000,37.723753,-122.435528,0.455814,4.476432
710,1.033759,235.450000,37.765225,-122.447672,0.275281,6.228150
711,1.018653,190.030000,37.729834,-122.453996,0.504032,7.932504
713,1.000242,2.850000,37.749227,-122.427210,0.615094,8.832087
716,1.054712,194.100000,37.797953,-122.453862,0.138075,2.170567
717,1.003259,17.180000,37.712376,-122.467096,0.213439,4.117685
719,1.012487,39.200000,37.782228,-122.449759,0.007143,2.850456
720,1.019412,171.340000,37.776794,-122.473714,0.001976,6.749793
721,1.030070,163.980000,37.735295,-122.501059,0.825949,3.984768
722,1.000352,1.810000,37.802005,-122.412725,0.182510,4.628162
724,1.035366,121.410000,37.736553,-122.443699,0.034130,2.358306
726,1.020766,168.670000,37.769390,-122.426688,0.002320,6.784533
727,1.014593,50.720000,37.736667,-122.470557,0.023438,2.818077
728,1.036764,38.920000,37.788623,-122.405231,0.036364,0.891690
729,1.005041,19.030000,37.740117,-122.468223,0.323276,3.164711
730,1.001694,10.630000,37.763333,-122.480352,0.034483,5.888292
731,1.000209,1.690000,37.798107,-122.442604,0.639896,6.268099
732,1.004532,23.530000,37.771367,-122.443849,0.005155,4.733613
733,1.004587,51.560000,37.735563,-122.503042,0.243017,8.976839
734,1.012759,87.650000,37.767414,-122.444836,0.405594,5.550061
735,1.008329,65.080000,37.734422,-122.442079,0.827338,6.054625
736,1.000267,2.150000,37.771127,-122.424435,0.459391,6.706964
737,1.001845,8.420000,37.760926,-122.446590,0.370079,3.242068
738,1.005322,23.860000,37.740117,-122.468223,0.256410,3.543977
739,1.004863,28.820000,37.768657,-122.402953,0.003077,4.547794
740,1.008233,92.070000,37.785729,-122.406277,0.377970,7.622475
741,1.027672,239.460000,37.734904,-122.471457,0.263761,7.193569
742,1.014872,62.560000,37.757367,-122.488533,0.040268,3.048971
743,1.022086,205.600000,37.736842,-122.391146,0.201072,7.402554
744,1.006520,53.960000,37.739937,-122.424257,0.862464,6.811439
745,1.006052,14.960000,37.761074,-122.400181,0.018018,1.939772
747,1.003009,6.150000,37.723273,-122.452976,0.050725,1.781883
748,1.001175,5.180000,37.798750,-122.444324,0.102941,3.882912
749,1.032446,226.660000,37.745669,-122.435787,0.514124,5.881835
750,1.026671,247.840000,37.740531,-122.456795,0.275049,7.551248
751,1.001712,13.120000,37.772478,-122.484258,0.391304,6.531228
752,1.000400,3.450000,37.722942,-122.444808,0.774011,7.012118
753,1.029873,300.640000,37.734904,-122.471457,0.057803,8.534916
755,1.002373,33.580000,37.765459,-122.477167,0.248563,10.967753
757,1.011577,157.920000,37.721752,-122.472443,0.173913,11.283300
758,1.000679,4.780000,37.753936,-122.449458,0.152968,5.342886
759,1.000924,10.390000,37.787323,-122.431849,0.407407,7.780856
760,1.006192,29.420000,37.740531,-122.456795,0.375439,3.651036
761,1.005077,42.080000,37.758457,-122.463790,0.436620,6.712274
763,1.047943,439.640000,37.793057,-122.396623,0.061224,8.701036
764,1.013023,133.060000,37.746318,-122.485602,0.091904,8.484211
765,1.006625,93.410000,37.783748,-122.488152,0.037736,10.679061
766,1.005417,19.670000,37.753651,-122.421636,0.754839,2.688777
767,1.008837,71.070000,37.787698,-122.403440,0.850230,7.036883
768,1.005472,27.600000,37.731054,-122.426179,0.207071,3.610425
769,1.001695,9.930000,37.746340,-122.461801,0.569378,4.679609
770,1.025894,144.880000,37.737327,-122.449442,0.078125,4.332467
771,1.009088,66.540000,37.786918,-122.459440,0.404321,4.880957
772,1.002988,28.870000,37.757942,-122.477735,0.105727,7.902217
773,1.042518,275.410000,37.730791,-122.471129,0.003058,5.605995
774,1.000304,1.550000,37.735653,-122.390344,0.539062,4.062531
776,1.003166,16.380000,37.753875,-122.398612,0.618357,3.658337
777,1.000222,1.670000,37.779697,-122.492153,0.222222,5.647476
778,1.002465,22.700000,37.785798,-122.486237,0.027990,6.981119
780,1.001320,17.080000,37.720735,-122.446626,0.209632,10.475049
781,1.013944,147.950000,37.779690,-122.389579,0.008251,9.022719
783,1.013399,102.860000,37.760020,-122.396405,0.061275,5.887718
784,1.020194,139.050000,37.753445,-122.494613,0.474265,4.689942
785,1.012109,107.540000,37.763761,-122.433635,0.493151,7.491774
786,1.000633,6.510000,37.769312,-122.496278,0.289238,7.399721
787,1.005747,28.950000,37.761868,-122.446837,0.625387,3.655730
789,1.002873,17.000000,37.776424,-122.456684,0.130573,4.043570
790,1.036929,189.930000,37.738193,-122.465761,0.123239,4.309750
791,1.017076,213.830000,37.723979,-122.456539,0.254400,9.823987
792,1.032116,99.930000,37.776696,-122.412224,0.006410,2.596237
793,1.030733,58.810000,37.745669,-122.435787,0.142857,1.348387
794,1.005385,56.050000,37.798750,-122.444324,0.050633,9.141647
795,1.015342,130.860000,37.787522,-122.485288,0.415865,6.956153
796,1.008873,42.080000,37.758457,-122.463790,0.111842,3.944692
797,1.000778,2.030000,37.779678,-122.438630,0.318182,2.408728
798,1.039828,137.310000,37.733518,-122.454632,0.004132,2.794406
800,1.004764,25.060000,37.740531,-122.456795,0.446281,3.993830
802,1.007905,54.120000,37.742824,-122.421688,0.117647,5.543127
803,1.026222,220.530000,37.740003,-122.462925,0.606818,7.098134
804,1.023479,252.710000,37.739768,-122.466903,0.223570,9.216351
805,1.113441,113.210000,37.799539,-122.408873,0.063492,0.918041
806,1.000157,1.330000,37.731712,-122.390253,0.025707,7.242669
807,1.012343,118.480000,37.739782,-122.424301,0.529148,7.644158
808,1.007769,38.020000,37.730489,-122.470609,0.607143,4.483211
809,1.016231,48.890000,37.757432,-122.453892,0.171053,2.547928
810,1.010225,66.500000,37.734904,-122.471457,0.040881,5.455980
814,1.015028,75.220000,37.739729,-122.410739,0.059113,4.213820
