rank,node_id,betweenness,lat,lon,pct_of_total
312,31936,3578.833000,37.750023,-122.460693,0.014598
313,5343,3578.813000,37.749931,-122.460642,0.014598
314,5344,3578.793000,37.749799,-122.460549,0.014597
315,31935,3578.773000,37.749711,-122.460470,0.014597
316,69652,3578.763000,37.749089,-122.459862,0.014597
317,22605,3578.763000,37.749246,-122.460015,0.014597
318,69651,3578.763000,37.749007,-122.459776,0.014597
319,57171,3558.745000,37.734688,-122.471669,0.014516
320,26437,3557.146000,37.775175,-122.419160,0.014509
321,6890,3547.791000,37.759051,-122.448503,0.014471
322,66527,3544.432000,37.735923,-122.424524,0.014457
323,50943,3543.948000,37.735893,-122.424535,0.014455
324,2294,3543.591000,37.744760,-122.435704,0.014454
325,50952,3543.562000,37.735795,-122.424570,0.014454
326,20516,3543.280000,37.735462,-122.424689,0.014453
327,53236,3536.235000,37.745486,-122.435770,0.014424
328,4719,3535.504000,37.767744,-122.428789,0.014421
329,11852,3495.747333,37.791709,-122.447703,0.014259
330,4492,3491.769000,37.759376,-122.447441,0.014243
331,24727,3488.421000,37.764482,-122.432895,0.014229
332,26272,3487.857000,37.764677,-122.432650,0.014227
333,26279,3487.309000,37.764749,-122.432558,0.014224
334,26276,3486.761000,37.764884,-122.432369,0.014222
335,24729,3486.527000,37.765790,-122.431210,0.014221
336,48660,3486.359000,37.765692,-122.431337,0.014220
337,42282,3486.215000,37.764941,-122.432293,0.014220
338,58434,3486.191000,37.765686,-122.431344,0.014220
339,43612,3486.025000,37.765479,-122.431610,0.014219
340,5086,3481.487000,37.760113,-122.447010,0.014201
341,6885,3480.631000,37.760926,-122.446590,0.014197
342,59506,3480.153000,37.760893,-122.446613,0.014195
343,69482,3479.679000,37.760858,-122.446635,0.014193
344,6886,3479.215000,37.760513,-122.446832,0.014191
345,69554,3478.759000,37.760458,-122.446863,0.014189
346,49196,3478.303000,37.760402,-122.446893,0.014188
347,69565,3477.847000,37.760346,-122.446919,0.014186
348,69493,3477.475000,37.760297,-122.446939,0.014184
349,41912,3477.187000,37.760249,-122.446957,0.014183
350,40071,3475.144333,37.776582,-122.417574,0.014175
351,12740,3471.874000,37.731164,-122.471973,0.014161
352,69495,3461.365000,37.759815,-122.447120,0.014118
353,69531,3461.081000,37.759768,-122.447139,0.014117
354,69550,3460.797000,37.759717,-122.447162,0.014116
355,6887,3460.513000,37.759668,-122.447188,0.014115
356,6888,3460.229000,37.759617,-122.447218,0.014114
357,69544,3459.945000,37.759572,-122.447249,0.014113
358,19975,3459.661000,37.759534,-122.447276,0.014112
359,69503,3459.377000,37.759492,-122.447311,0.014110
360,69532,3459.099000,37.759451,-122.447352,0.014109
361,19976,3458.829000,37.759410,-122.447399,0.014108
362,646,3451.724000,37.762373,-122.461922,0.014079
363,3937,3448.714000,37.728673,-122.425356,0.014067
364,11715,3445.420000,37.762647,-122.460862,0.014053
365,59705,3444.280000,37.762617,-122.460970,0.014049
366,51172,3444.066000,37.762589,-122.461069,0.014048
367,24689,3443.938000,37.762394,-122.461764,0.014047
368,36161,3443.834000,37.762383,-122.461821,0.014047
369,36159,3443.730000,37.762377,-122.461872,0.014047
370,21347,3442.975000,37.759136,-122.447943,0.014043
371,69537,3440.687000,37.759341,-122.447488,0.014034
372,19971,3440.227000,37.759310,-122.447532,0.014032
373,69559,3439.767000,37.759281,-122.447577,0.014030
374,69500,3439.401000,37.759251,-122.447631,0.014029
375,19972,3439.129000,37.759222,-122.447693,0.014028
376,69566,3438.857000,37.759197,-122.447751,0.014027
377,6889,3438.585000,37.759172,-122.447816,0.014026
378,69570,3438.313000,37.759153,-122.447875,0.014024
379,69509,3434.867000,37.759120,-122.448016,0.014010
380,19973,3434.743000,37.759108,-122.448082,0.014010
381,69511,3434.619000,37.759098,-122.448150,0.014009
382,69546,3434.495000,37.759063,-122.448410,0.014009
383,3936,3426.938000,37.728644,-122.425984,0.013978
384,46152,3423.365000,37.761610,-122.476968,0.013963
385,50788,3423.337000,37.761585,-122.476965,0.013963
386,69979,3423.311000,37.761403,-122.476945,0.013963
387,36131,3423.299000,37.759943,-122.476785,0.013963
388,36118,3423.299000,37.760280,-122.476818,0.013963
389,7804,3416.348000,37.746362,-122.461710,0.013935
390,596,3412.721154,37.772572,-122.484207,0.013920
391,8990,3410.531000,37.745542,-122.451851,0.013911
392,37302,3400.659000,37.780452,-122.412484,0.013871
393,7134,3378.562000,37.739733,-122.465271,0.013781
394,26005,3377.751000,37.734802,-122.471564,0.013777
395,48421,3377.049000,37.734736,-122.471630,0.013775
396,57170,3376.597000,37.734717,-122.471646,0.013773
397,15799,3373.946000,37.766063,-122.477311,0.013762
398,26399,3370.649333,37.774123,-122.420738,0.013748
399,51751,3364.790000,37.740921,-122.457627,0.013725
400,31520,3364.074000,37.740850,-122.457778,0.013722
401,8638,3363.832000,37.740055,-122.462927,0.013721
402,29867,3363.366000,37.740697,-122.458159,0.013719
403,29880,3362.834000,37.740645,-122.458320,0.013717
404,29862,3362.470000,37.740596,-122.458488,0.013715
405,8979,3362.108000,37.740556,-122.458664,0.013714
406,31932,3361.991000,37.739249,-122.466244,0.013713
407,15891,3361.750000,37.740516,-122.458856,0.013712
408,29884,3361.398000,37.740482,-122.459023,0.013711
409,18117,3361.068000,37.740462,-122.459186,0.013709
410,48718,3360.758000,37.740387,-122.459784,0.013708
411,29939,3360.470000,37.740353,-122.460108,0.013707
412,28762,3360.208000,37.740321,-122.460408,0.013706
413,51742,3359.956000,37.740273,-122.460866,0.013705
414,15892,3359.716000,37.740248,-122.461097,0.013704
415,33409,3359.486000,37.740236,-122.461214,0.013703
416,28578,3359.286000,37.740215,-122.461417,0.013702
417,7809,3358.158000,37.745574,-122.461387,0.013698
418,3930,3356.582000,37.728741,-122.431312,0.013691
419,52293,3346.956000,37.728650,-122.425879,0.013652
420,16628,3344.730000,37.766153,-122.477326,0.013643
421,19932,3344.050000,37.766244,-122.477344,0.013640
422,8310,3343.462000,37.766318,-122.477365,0.013638
423,35715,3342.902000,37.766396,-122.477392,0.013635
424,19933,3342.352000,37.766465,-122.477420,0.013633
425,35712,3341.818000,37.766532,-122.477450,0.013631
426,8311,3341.300000,37.766602,-122.477488,0.013629
427,35680,3340.798000,37.766668,-122.477529,0.013627
428,19934,3340.304000,37.766735,-122.477572,0.013625
429,35724,3339.814000,37.766800,-122.477620,0.013623
430,8312,3339.334000,37.767103,-122.477838,0.013621
431,8313,3338.862000,37.767174,-122.477886,0.013619
432,35744,3338.392000,37.767250,-122.477933,0.013617
