rank,node_id,betweenness,lat,lon,pct_of_total
263,36078,5296.209000,40.766302,-73.960185,0.028892
264,52915,5296.031000,40.766405,-73.960111,0.028891
265,49733,5295.853000,40.766816,-73.959822,0.028890
266,1483,5288.178000,40.796163,-73.947649,0.028848
267,2747,5237.095000,40.766872,-73.959783,0.028569
268,3158,4544.465000,40.795544,-73.948097,0.024791
269,67387,4535.893000,40.795607,-73.948052,0.024744
270,36841,4535.607000,40.796095,-73.947698,0.024743
271,3157,4443.725000,40.793616,-73.949506,0.024241
272,19109,4412.762000,40.734366,-73.938066,0.024073
273,34791,4412.665000,40.793709,-73.949435,0.024072
274,67390,4412.401000,40.794215,-73.949065,0.024071
275,34827,4412.139000,40.794237,-73.949049,0.024069
276,3114,4412.113000,40.794283,-73.949016,0.024069
277,1816,4387.165000,40.794913,-73.948556,0.023933
278,67388,4386.653000,40.794348,-73.948969,0.023930
279,34828,4386.393000,40.794860,-73.948595,0.023929
280,34819,4385.581000,40.794972,-73.948513,0.023924
281,67385,4385.319000,40.795484,-73.948141,0.023923
282,36462,4377.759000,40.796216,-73.947756,0.023882
283,34276,4377.559000,40.796455,-73.948306,0.023881
284,37069,4377.377000,40.796643,-73.948747,0.023880
285,1176,4346.599000,40.796734,-73.948855,0.023712
286,51539,4345.309000,40.796663,-73.948777,0.023705
287,24186,4345.131000,40.796689,-73.948805,0.023704
288,58953,4321.538000,40.739611,-73.934601,0.023575
289,7083,4321.006000,40.739441,-73.934633,0.023572
290,75418,4320.484000,40.739058,-73.934708,0.023569
291,7084,4320.092000,40.737790,-73.934962,0.023567
292,75417,4319.962000,40.738764,-73.934767,0.023566
293,6283,4319.452000,40.738563,-73.934806,0.023564
294,58952,4318.960000,40.738000,-73.934918,0.023561
295,31868,4318.474000,40.737966,-73.934924,0.023558
296,51755,4317.988000,40.737857,-73.934946,0.023556
297,63704,4306.529000,40.796653,-73.948762,0.023493
298,23162,4227.928000,40.747084,-73.942378,0.023064
299,15119,4211.266000,40.737494,-73.935053,0.022973
300,59002,4192.728000,40.737567,-73.935024,0.022872
301,51756,4192.242000,40.737535,-73.935035,0.022870
302,23159,4157.716000,40.746735,-73.943243,0.022681
303,49927,4114.388000,40.746268,-73.941795,0.022445
